10	89	132	834	924	375	102	120	23	
42	113	322	1368	1481	576	92	162	85	
88	173	540	2175	2401	966	136	242	195	
154	271	787	3032	3453	1362	169	310	255	
215	273	872	3089	3578	1367	175	276	223	
190	181	693	2253	2727	1029	183	165	139	
66	183	430	1361	1725	625	130	81	60	
117	231	294	815	883	238	42	32	12	
186	211	174	239	292	63	34	46	29	

104	190	296	568	550	190	102	20	27	
70	186	293	972	971	354	111	78	62	
73	138	274	1408	1500	559	101	144	90	
141	81	423	1949	2172	788	128	169	121	
170	91	512	2061	2350	826	149	121	134	
129	171	410	1572	1888	637	130	57	112	
48	231	208	975	1274	373	83	58	72	
37	249	69	592	766	163	88	63	44	
73	244	74	208	307	49	93	80	40	

116	129	25	161	364	266	81	61	31	
148	252	74	178	671	405	80	78	76	
118	275	96	262	945	586	221	113	75	
30	156	59	427	1310	791	306	129	67	
50	80	57	508	1488	844	310	111	81	
71	191	103	443	1209	653	220	82	66	
48	190	118	294	655	380	81	66	32	
26	104	109	126	253	253	73	56	31	
16	27	73	21	226	218	124	33	65	

90	32	120	387	930	557	169	87	132	
118	67	196	661	1644	845	204	96	195	
237	128	300	1094	3063	1544	482	127	313	
379	171	401	1706	4714	2295	818	113	458	
414	170	406	1951	5001	2306	862	42	452	
323	144	305	1543	3696	1674	620	45	298	
202	100	187	837	2101	1065	371	37	162	
124	36	115	422	1100	574	225	18	91	
63	19	67	190	316	162	102	32	25	

24	23	23	228	460	223	177	48	60	
48	11	14	372	1160	635	266	99	129	
44	61	97	534	1949	1073	432	106	197	
68	74	218	795	3226	1933	761	91	406	
142	42	271	1172	4498	2784	1061	77	597	
171	20	217	1258	4495	2836	1057	40	579	
143	50	137	940	3272	2203	832	72	405	
95	42	60	597	2017	1442	558	108	227	
54	33	53	437	1084	707	249	114	79	

87	63	90	192	412	188	43	95	15	
135	47	158	581	1155	503	101	82	50	
162	51	309	1009	1849	719	196	55	98	
204	143	493	1675	3063	1229	394	123	178	
252	251	602	2263	4184	1695	524	194	233	
237	282	538	2175	4044	1598	464	209	236	
189	204	348	1490	2847	1117	326	182	215	
150	56	174	899	1706	665	236	137	165	
104	83	71	591	918	272	132	88	86	

