26	10	5	22	59	70	103	125	51	
59	56	64	26	53	45	49	77	57	
52	77	106	46	49	37	21	29	69	
31	67	58	44	114	52	52	50	41	
27	60	79	177	203	112	38	18	13	
13	49	130	193	159	111	36	45	54	
11	41	110	89	10	45	63	77	64	
34	47	96	16	69	18	65	53	42	
62	44	83	16	35	12	44	14	11	

55	41	14	19	5	20	54	88	72	
52	30	3	15	16	2	38	80	77	
36	15	11	50	69	75	51	47	54	
25	10	17	140	198	140	56	24	15	
27	8	34	188	229	105	45	8	13	
28	32	17	111	117	14	21	13	23	
47	48	35	0	24	24	8	21	30	
65	42	44	33	27	12	11	29	18	
71	49	26	18	14	20	4	52	59	

34	18	4	45	85	63	60	48	13	
32	38	21	55	62	38	49	43	15	
19	53	49	72	61	8	42	39	25	
13	43	56	127	155	41	46	32	25	
23	25	51	164	193	31	50	26	29	
11	17	29	129	157	47	53	38	22	
27	7	12	109	155	95	60	57	35	
37	24	52	75	97	86	50	44	30	
46	19	56	53	45	44	13	8	8	

29	52	43	12	3	2	8	4	13	
25	53	53	11	18	21	31	11	18	
18	36	52	62	49	72	66	25	29	
17	19	41	112	155	143	83	23	19	
27	23	35	108	194	149	55	17	26	
38	52	56	94	142	89	37	56	59	
61	63	78	89	74	37	39	57	57	
63	47	59	64	35	17	17	28	34	
43	31	44	59	55	41	16	20	32	

41	30	6	39	21	31	38	57	33	
60	36	29	33	44	40	56	72	19	
63	38	10	78	118	63	46	63	51	
105	76	11	121	227	135	4	51	75	
99	64	0	152	303	200	15	31	91	
35	27	30	165	251	183	22	14	73	
5	15	74	223	164	104	41	58	41	
46	57	92	192	141	27	31	41	37	
53	62	57	76	55	22	32	22	28	

24	17	10	28	9	69	61	20	44	
31	36	5	31	36	28	19	26	35	
45	33	24	74	75	23	26	35	21	
40	22	73	152	135	53	33	30	20	
47	54	112	237	237	122	73	46	15	
80	86	87	211	246	124	89	64	13	
66	56	24	62	96	45	54	68	37	
47	77	38	31	31	33	34	59	35	
41	110	52	18	13	5	20	16	20	

