14	26	57	26	31	52	70	85	97	41	12	
57	26	10	5	22	59	70	103	125	51	16	
78	59	56	64	26	53	45	49	77	57	46	
58	52	77	106	46	49	37	21	29	69	72	
26	31	67	58	44	114	52	52	50	41	54	
3	27	60	79	177	203	112	38	18	13	15	
18	13	49	130	193	159	111	36	45	54	8	
50	11	41	110	89	10	45	63	77	64	18	
81	34	47	96	16	69	18	65	53	42	35	
82	62	44	83	16	35	12	44	14	11	13	
67	65	45	58	27	6	2	16	15	4	36	

50	54	50	44	46	5	14	66	75	61	44	
47	55	41	14	19	5	20	54	88	72	35	
40	52	30	3	15	16	2	38	80	77	40	
58	36	15	11	50	69	75	51	47	54	66	
41	25	10	17	140	198	140	56	24	15	30	
29	27	8	34	188	229	105	45	8	13	21	
27	28	32	17	111	117	14	21	13	23	31	
20	47	48	35	0	24	24	8	21	30	42	
32	65	42	44	33	27	12	11	29	18	52	
37	71	49	26	18	14	20	4	52	59	50	
47	79	70	47	20	21	46	32	50	34	9	

17	41	15	1	33	81	63	55	46	48	43	
34	34	18	4	45	85	63	60	48	13	17	
15	32	38	21	55	62	38	49	43	15	24	
13	19	53	49	72	61	8	42	39	25	36	
45	13	43	56	127	155	41	46	32	25	31	
44	23	25	51	164	193	31	50	26	29	14	
19	11	17	29	129	157	47	53	38	22	3	
36	27	7	12	109	155	95	60	57	35	31	
78	37	24	52	75	97	86	50	44	30	43	
88	46	19	56	53	45	44	13	8	8	25	
62	33	4	40	51	51	32	15	7	24	19	

9	18	31	26	17	7	16	26	20	9	13	
24	29	52	43	12	3	2	8	4	13	25	
13	25	53	53	11	18	21	31	11	18	49	
3	18	36	52	62	49	72	66	25	29	71	
10	17	19	41	112	155	143	83	23	19	44	
29	27	23	35	108	194	149	55	17	26	30	
41	38	52	56	94	142	89	37	56	59	58	
66	61	63	78	89	74	37	39	57	57	79	
53	63	47	59	64	35	17	17	28	34	66	
10	43	31	44	59	55	41	16	20	32	21	
33	28	18	52	72	70	62	42	30	44	28	

27	39	44	44	84	54	16	43	45	34	52	
46	41	30	6	39	21	31	38	57	33	46	
21	60	36	29	33	44	40	56	72	19	48	
35	63	38	10	78	118	63	46	63	51	49	
71	105	76	11	121	227	135	4	51	75	21	
47	99	64	0	152	303	200	15	31	91	61	
0	35	27	30	165	251	183	22	14	73	51	
5	5	15	74	223	164	104	41	58	41	32	
28	46	57	92	192	141	27	31	41	37	52	
44	53	62	57	76	55	22	32	22	28	56	
65	52	19	18	9	20	10	45	47	69	24	

29	21	25	19	79	63	67	53	13	33	22	
24	24	17	10	28	9	69	61	20	44	27	
8	31	36	5	31	36	28	19	26	35	25	
24	45	33	24	74	75	23	26	35	21	19	
13	40	22	73	152	135	53	33	30	20	33	
7	47	54	112	237	237	122	73	46	15	32	
8	80	86	87	211	246	124	89	64	13	11	
12	66	56	24	62	96	45	54	68	37	12	
31	47	77	38	31	31	33	34	59	35	11	
32	41	110	52	18	13	5	20	16	20	7	
16	8	71	58	41	12	43	35	10	13	21	

