177	244	286	182	113	99	52	
27	35	146	210	143	12	65	
121	256	1168	1620	938	223	47	
249	452	1668	2204	1229	304	128	
328	338	697	896	538	151	175	
228	136	76	26	167	130	71	
121	171	213	182	139	163	108	

284	518	503	211	132	288	277	
202	515	527	242	79	114	176	
126	174	547	1177	1141	378	136	
264	54	694	1794	1757	553	246	
235	42	372	823	799	264	139	
230	345	243	166	167	59	109	
259	377	465	376	147	61	81	

147	248	206	63	216	258	360	
198	195	119	169	102	198	240	
357	151	585	875	459	56	257	
352	188	647	946	476	197	228	
267	170	164	252	237	304	207	
112	105	26	101	158	233	221	
40	52	109	267	67	390	427	

