30	13	20	7	60	116	41	19	33	41	20	
5	10	40	28	53	82	4	4	13	21	24	
16	21	26	49	33	34	18	18	5	19	2	
14	31	13	18	76	85	86	19	8	37	12	
43	16	17	84	415	841	183	79	15	50	76	
92	86	96	126	1105	2186	323	165	13	93	96	
74	103	84	179	1034	1966	272	123	6	102	26	
34	67	10	201	339	489	53	60	17	52	35	
57	80	18	124	103	219	77	91	30	17	25	
41	77	59	45	39	76	37	39	18	22	6	
17	77	88	19	14	48	19	7	8	16	19	

23	74	53	41	17	17	47	23	9	56	17	
29	53	23	12	28	78	31	31	50	46	15	
43	34	4	13	118	101	18	19	47	26	23	
21	56	24	43	236	419	23	59	35	24	19	
67	118	76	106	960	1737	204	69	77	33	58	
96	127	94	121	1156	2111	280	59	101	44	51	
41	56	59	64	459	916	130	59	76	14	30	
24	29	33	36	121	211	138	38	36	40	28	
42	34	16	32	74	113	76	6	28	24	31	
22	46	19	47	9	57	13	32	61	33	29	
19	45	14	27	110	105	7	36	68	51	25	

