14	13	5	21	22	5	39	43	51	
6	5	1	24	76	56	43	27	30	
12	1	8	22	33	82	65	74	53	
17	7	9	263	343	97	85	109	107	
19	19	27	564	816	275	96	115	104	
12	15	25	487	693	224	98	106	77	
3	5	24	143	174	43	65	50	39	
9	3	34	107	103	9	29	69	54	
5	8	17	60	32	36	60	165	104	

77	24	58	29	76	125	30	20	34	
42	56	31	66	41	84	67	24	68	
31	43	29	151	182	118	59	71	74	
22	23	26	395	614	206	101	86	61	
68	40	19	411	699	248	84	45	39	
39	25	10	177	318	202	84	42	23	
24	6	26	27	61	101	117	57	30	
38	11	22	3	17	18	17	24	19	
25	19	13	29	26	36	73	69	47	

38	67	84	33	46	45	50	77	21	
65	47	28	22	86	80	76	78	17	
45	41	18	19	81	43	75	55	22	
23	25	7	250	346	112	42	41	29	
68	20	15	494	711	233	73	33	35	
59	17	11	374	566	216	89	52	30	
35	57	52	70	163	65	97	86	28	
50	96	52	24	21	7	42	58	5	
37	51	33	37	69	93	80	30	23	

65	42	19	56	63	55	50	11	6	
39	4	17	27	30	49	43	31	18	
42	42	25	49	13	40	34	55	19	
43	58	65	141	237	132	67	54	7	
29	39	65	246	493	268	84	43	6	
53	27	51	191	344	196	68	25	10	
45	43	89	91	46	38	46	21	8	
24	62	84	64	87	41	38	27	30	
46	46	48	43	41	26	30	36	30	

43	87	56	52	74	68	17	126	182	
37	73	33	7	39	57	64	7	86	
11	21	10	20	66	86	36	74	17	
10	21	31	151	397	273	61	92	24	
5	42	59	248	768	589	72	93	43	
21	35	52	182	562	459	64	94	89	
68	29	18	50	125	161	77	60	71	
81	23	15	34	54	114	160	60	20	
54	8	25	46	17	90	113	45	13	

46	17	38	34	56	15	23	29	23	
33	35	67	68	58	52	122	75	35	
43	45	69	38	53	113	190	118	39	
56	49	42	241	557	352	120	64	37	
55	34	30	309	798	492	46	52	52	
43	17	15	153	407	252	52	62	44	
96	10	62	56	61	52	50	45	24	
102	48	53	37	17	29	65	79	76	
51	54	12	65	112	75	73	84	55	

