252,141,313,409,252,214,463,447,392,352,234,
237,292,231,243,328,284,99,42,75,235,142,
430,308,177,244,286,182,113,99,52,13,30,
362,135,27,35,146,210,143,12,65,67,94,
80,97,121,256,1168,1620,938,223,47,166,49,
243,280,249,452,1668,2204,1229,304,128,284,99,
221,342,328,338,697,896,538,151,175,235,101,
151,194,228,136,76,26,167,130,71,175,178,
201,27,121,171,213,182,139,163,108,110,221,
139,149,72,26,113,171,101,45,91,31,38,
175,189,175,227,132,230,223,35,160,96,38,

217,504,444,166,292,251,124,109,189,224,99,
272,344,130,254,327,318,369,356,155,121,145,
494,295,284,518,503,211,132,288,277,183,264,
186,31,202,515,527,242,79,114,176,184,201,
501,429,126,174,547,1177,1141,378,136,18,62,
492,494,264,54,694,1794,1757,553,246,86,46,
486,348,235,42,372,823,799,264,139,109,67,
458,272,230,345,243,166,167,59,109,52,112,
320,194,259,377,465,376,147,61,81,33,122,
434,270,68,33,119,99,87,155,209,172,31,
413,234,198,152,121,171,199,203,283,238,51,

37,118,292,390,330,277,324,692,872,464,26,
13,49,198,290,244,200,276,494,434,36,226,
12,47,147,248,206,63,216,258,360,434,299,
150,166,198,195,119,169,102,198,240,710,406,
468,533,357,151,585,875,459,56,257,533,230,
432,507,352,188,647,946,476,197,228,301,410,
92,237,267,170,164,252,237,304,207,246,353,
42,64,112,105,26,101,158,233,221,229,311,
98,37,40,52,109,267,67,390,427,541,677,
42,63,17,44,117,264,187,306,156,280,392,
48,43,49,135,279,289,313,525,488,162,76,

