8	22	33	82	65	
9	263	343	97	85	
27	564	816	275	96	
25	487	693	224	98	
24	143	174	43	65	

29	151	182	118	59	
26	395	614	206	101	
19	411	699	248	84	
10	177	318	202	84	
26	27	61	101	117	

18	19	81	43	75	
7	250	346	112	42	
15	494	711	233	73	
11	374	566	216	89	
52	70	163	65	97	

25	49	13	40	34	
65	141	237	132	67	
65	246	493	268	84	
51	191	344	196	68	
89	91	46	38	46	

10	20	66	86	36	
31	151	397	273	61	
59	248	768	589	72	
52	182	562	459	64	
18	50	125	161	77	

69	38	53	113	190	
42	241	557	352	120	
30	309	798	492	46	
15	153	407	252	52	
62	56	61	52	50	

