13	2	22	63	40	62	74	52	59	22	50	
7	11	43	63	48	52	66	101	101	18	20	
9	17	83	71	115	181	33	81	100	44	13	
17	8	133	124	199	421	207	57	178	101	18	
26	43	146	191	348	845	377	49	287	146	25	
36	56	102	212	443	1039	406	102	286	123	58	
32	39	49	166	355	769	259	205	206	56	97	
18	16	27	97	155	355	135	190	133	34	94	
7	19	6	64	44	244	132	89	66	26	46	
5	25	39	65	51	141	89	21	42	14	26	
6	23	62	74	23	30	86	29	15	39	18	

40	90	45	22	3	146	95	40	57	33	7	
36	66	16	40	22	120	25	79	142	53	42	
57	34	42	62	48	268	144	125	245	66	39	
65	13	75	50	125	520	419	123	281	36	19	
62	37	71	26	230	955	697	132	210	43	28	
62	54	96	51	256	1217	818	260	104	109	58	
79	98	152	76	194	981	701	322	71	101	80	
77	117	149	110	104	448	439	247	77	42	72	
43	76	107	78	50	91	201	123	59	10	46	
24	41	77	65	29	82	100	48	27	27	26	
33	62	64	141	67	13	80	3	54	54	13	

10	50	85	47	45	45	41	64	19	90	97	
21	46	63	73	36	50	90	88	59	39	61	
26	86	109	71	41	76	125	102	91	55	70	
13	83	152	66	38	101	121	101	92	74	84	
54	59	130	66	95	134	113	141	52	71	72	
57	43	71	59	138	154	121	172	13	77	49	
36	38	50	58	136	150	90	137	65	66	27	
24	52	76	67	109	126	16	110	78	39	28	
27	62	86	63	75	93	50	111	51	40	81	
31	41	72	55	42	44	55	67	12	57	78	
46	42	44	46	30	48	32	36	27	39	26	

