83	71	115	181	33	81	100	
133	124	199	421	207	57	178	
146	191	348	845	377	49	287	
102	212	443	1039	406	102	286	
49	166	355	769	259	205	206	
27	97	155	355	135	190	133	
6	64	44	244	132	89	66	

42	62	48	268	144	125	245	
75	50	125	520	419	123	281	
71	26	230	955	697	132	210	
96	51	256	1217	818	260	104	
152	76	194	981	701	322	71	
149	110	104	448	439	247	77	
107	78	50	91	201	123	59	

109	71	41	76	125	102	91	
152	66	38	101	121	101	92	
130	66	95	134	113	141	52	
71	59	138	154	121	172	13	
50	58	136	150	90	137	65	
76	67	109	126	16	110	78	
86	63	75	93	50	111	51	

