14	2	35	50	30	8	14	
6	31	93	79	30	3	13	
15	27	248	278	52	48	17	
27	43	566	657	110	127	61	
21	63	477	576	114	124	67	
9	50	99	194	63	52	28	
6	34	71	62	13	15	4	

29	34	24	35	44	63	62	
29	38	5	50	80	59	46	
49	12	60	135	161	61	4	
37	40	106	207	188	62	54	
54	43	74	148	115	88	127	
33	23	35	44	40	40	69	
14	24	39	31	21	48	22	

48	3	43	34	9	8	12	
44	59	170	116	14	23	8	
41	98	360	469	94	67	21	
53	83	531	781	197	109	31	
52	52	355	555	170	73	14	
27	46	134	189	77	12	23	
28	41	76	66	15	12	25	

