1	4	27	60	56	46	12	20	19	
5	14	2	35	50	30	8	14	26	
14	6	31	93	79	30	3	13	39	
15	15	27	248	278	52	48	17	22	
25	27	43	566	657	110	127	61	40	
28	21	63	477	576	114	124	67	56	
16	9	50	99	194	63	52	28	19	
12	6	34	71	62	13	15	4	26	
12	16	42	11	6	8	21	6	31	

28	32	47	33	28	24	29	26	56	
31	29	34	24	35	44	63	62	18	
25	29	38	5	50	80	59	46	34	
29	49	12	60	135	161	61	4	10	
31	37	40	106	207	188	62	54	29	
50	54	43	74	148	115	88	127	36	
22	33	23	35	44	40	40	69	11	
22	14	24	39	31	21	48	22	10	
7	30	39	30	34	17	39	18	24	

39	53	20	74	74	26	27	21	4	
83	48	3	43	34	9	8	12	6	
96	44	59	170	116	14	23	8	15	
33	41	98	360	469	94	67	21	34	
45	53	83	531	781	197	109	31	29	
66	52	52	355	555	170	73	14	28	
31	27	46	134	189	77	12	23	49	
18	28	41	76	66	15	12	25	48	
39	22	14	7	35	24	18	1	17	

