8	19	31	38	68	81	110	
40	6	14	28	40	62	104	
28	13	75	176	189	121	72	
18	13	224	505	472	223	83	
21	33	158	341	305	132	53	
5	18	59	81	70	13	64	
15	12	15	81	120	51	85	

102	132	42	45	67	57	27	
111	90	50	120	68	3	21	
63	45	124	150	38	103	91	
76	113	402	435	121	172	133	
22	118	348	378	180	197	146	
103	31	27	47	102	165	140	
110	32	58	47	31	27	68	

48	122	97	79	103	75	47	
46	85	53	64	137	115	63	
83	61	96	265	261	140	25	
80	20	179	435	414	152	51	
62	42	149	254	210	58	50	
31	18	104	112	21	72	41	
84	23	73	97	59	96	25	

55	111	150	97	50	64	64	
34	51	83	76	65	78	64	
64	94	154	180	122	37	15	
82	138	317	449	294	108	103	
120	155	281	411	245	40	58	
107	123	55	118	84	85	154	
37	37	82	119	112	22	72	

