2	124	171	49	61	
16	348	572	226	67	
6	377	621	244	74	
12	156	235	80	60	
23	72	80	15	22	

15	75	77	75	56	
12	231	394	168	61	
13	289	559	230	74	
16	155	320	186	45	
12	26	59	91	99	

16	11	63	43	58	
8	122	190	78	34	
20	304	502	190	46	
13	282	485	203	70	
40	83	176	82	68	

11	32	15	35	21	
41	75	118	74	47	
55	149	348	212	71	
37	144	318	197	63	
59	83	77	54	40	

11	2	42	68	37	
17	76	205	156	25	
34	150	519	447	54	
35	128	474	433	65	
18	50	148	158	55	

55	30	11	61	134	
39	126	315	230	106	
18	197	581	411	32	
17	117	377	271	25	
35	45	63	41	34	

