26	17	8	29	31	44	29	26	22	
19	16	18	18	41	54	36	33	22	
39	16	10	74	84	26	23	32	20	
29	17	27	125	181	23	26	34	32	
19	20	41	116	189	50	14	42	27	
21	18	34	78	140	59	10	30	4	
24	18	37	51	92	48	5	27	28	
27	8	25	19	29	23	22	44	35	
33	14	12	12	10	8	30	47	37	

15	3	12	32	35	15	23	32	35	
15	21	18	25	21	2	31	24	14	
19	31	25	25	31	21	54	28	24	
24	21	12	44	41	53	72	26	21	
35	17	11	87	108	63	44	15	11	
34	13	24	81	116	52	23	26	31	
36	39	23	47	76	43	32	45	67	
55	60	35	23	44	37	35	47	67	
46	59	48	20	23	15	11	30	47	

33	133	119	19	17	43	33	19	12	
29	71	51	12	25	51	46	17	27	
16	20	53	32	11	31	23	13	28	
20	30	35	24	51	26	20	26	26	
44	45	46	80	87	73	39	56	9	
31	4	26	76	92	61	42	70	26	
16	24	23	38	53	16	61	80	20	
9	13	7	31	30	25	63	78	50	
1	8	1	47	37	36	43	38	30	

37	14	22	48	70	15	5	3	31	
3	27	34	40	29	15	11	11	30	
20	36	62	117	97	35	45	26	30	
45	7	60	474	713	268	66	9	22	
43	23	20	798	1276	510	38	79	31	
39	31	18	623	1034	440	11	91	44	
51	44	33	178	329	158	28	34	33	
39	53	41	29	34	9	7	39	48	
16	51	60	30	39	7	40	56	52	

