5	5	2	17	51	34	30	23	29	
7	3	7	4	44	69	46	45	27	
11	0	2	124	171	49	61	78	78	
11	11	16	348	572	226	67	87	84	
9	17	6	377	621	244	74	89	63	
0	10	12	156	235	80	60	57	31	
5	2	23	72	80	15	22	35	31	
2	2	17	58	48	14	33	107	78	
7	8	13	29	24	38	46	163	105	

76	30	47	24	53	96	31	21	20	
26	32	28	44	34	66	45	11	39	
29	41	15	75	77	75	56	44	60	
10	13	12	231	394	168	61	65	53	
44	33	13	289	559	230	74	50	35	
41	26	16	155	320	186	45	18	14	
14	7	12	26	59	91	99	52	28	
33	6	20	1	22	22	28	13	1	
18	9	5	15	21	15	47	50	29	

14	42	68	37	36	33	26	55	19	
46	37	27	7	55	60	47	60	4	
38	32	16	11	63	43	58	52	8	
14	16	8	122	190	78	34	33	14	
40	18	20	304	502	190	46	24	25	
43	24	13	282	485	203	70	39	26	
29	29	40	83	176	82	68	69	26	
33	70	44	17	29	9	43	54	14	
25	50	29	17	38	53	48	24	11	

52	36	17	39	41	38	36	10	9	
42	9	12	26	35	34	38	18	10	
25	26	11	32	15	35	21	39	20	
35	42	41	75	118	74	47	45	14	
25	33	55	149	348	212	71	35	4	
35	22	37	144	318	197	63	22	2	
41	25	59	83	77	54	40	15	5	
6	46	72	58	69	31	30	21	21	
36	40	44	38	39	27	20	25	27	

31	58	44	41	55	43	13	100	148	
28	62	36	10	33	42	43	21	88	
10	25	11	2	42	68	37	51	16	
7	9	17	76	205	156	25	66	21	
9	30	34	150	519	447	54	86	26	
5	29	35	128	474	433	65	68	64	
40	25	18	50	148	158	55	55	63	
62	23	5	16	43	93	117	38	21	
48	12	19	33	13	49	90	48	6	

32	7	31	29	43	16	24	18	30	
32	19	44	44	32	20	67	48	15	
25	27	55	30	11	61	134	95	25	
41	38	39	126	315	230	106	68	17	
43	30	18	197	581	411	32	40	33	
32	13	17	117	377	271	25	56	34	
65	11	35	45	63	41	34	34	6	
80	35	45	30	5	34	42	54	48	
46	47	5	39	79	47	50	63	47	

