21	4	12	1	22	37	24	4	25	31	43	
10	6	22	20	4	6	4	7	15	37	32	
5	3	20	24	8	21	5	6	16	26	25	
14	12	22	17	11	29	22	11	16	12	3	
13	21	20	29	103	346	255	18	4	5	24	
11	21	43	68	232	786	532	9	13	13	51	
15	15	19	68	170	499	281	40	14	9	33	
13	2	8	13	57	47	50	41	16	29	18	
15	6	15	18	8	11	27	27	19	30	37	
18	19	9	4	22	49	47	16	13	6	19	
21	34	30	17	38	19	15	2	24	24	9	

30	25	10	14	16	20	13	7	33	28	17	
20	33	22	8	0	12	3	16	29	27	5	
13	34	25	11	14	34	28	12	23	4	17	
15	17	11	10	8	20	9	11	25	15	7	
18	15	17	3	23	84	90	31	6	17	49	
21	19	25	38	74	358	315	56	37	29	47	
14	18	13	65	47	356	258	47	36	16	44	
11	6	18	30	59	112	24	70	38	28	39	
20	28	18	33	55	58	40	18	32	26	10	
16	13	14	35	21	14	1	13	7	7	10	
15	12	28	26	8	27	43	19	12	7	9	

48	62	41	30	5	20	20	33	34	38	24	
42	53	48	24	23	53	37	18	63	65	25	
47	28	24	11	31	80	47	18	57	61	32	
60	59	26	41	65	81	57	17	14	26	9	
18	33	19	45	344	618	237	54	17	41	40	
40	53	16	35	776	1186	338	149	20	72	73	
31	26	13	19	488	687	140	115	26	72	75	
19	21	24	10	33	4	39	27	18	47	47	
12	21	30	43	21	11	22	13	22	25	35	
10	13	31	62	46	43	26	28	29	26	41	
5	4	15	69	101	83	38	10	18	24	31	

25	14	6	6	13	9	13	3	32	53	50	
23	14	12	14	32	22	19	24	13	18	30	
16	23	13	15	17	33	51	28	33	13	2	
22	11	9	22	86	65	22	26	37	18	30	
33	40	0	88	338	321	123	56	26	69	63	
37	22	24	76	332	344	166	77	60	69	60	
18	13	16	27	97	148	137	78	68	37	18	
22	23	16	33	36	73	61	45	5	18	10	
8	22	27	31	44	46	41	7	28	28	16	
4	1	22	10	23	31	40	30	6	11	16	
29	23	13	24	12	22	32	24	13	20	18	

58	85	74	32	69	109	45	46	81	120	101	
16	43	46	33	11	53	66	26	52	141	108	
19	13	14	7	18	46	46	18	7	76	91	
26	21	26	4	29	43	71	14	53	14	58	
47	10	22	72	251	742	454	45	33	7	32	
49	13	39	105	444	1172	668	95	12	31	49	
18	28	17	20	231	539	332	58	12	34	48	
24	32	39	25	9	44	35	41	45	16	20	
32	23	53	38	28	42	38	59	91	34	51	
36	32	55	66	19	35	41	53	75	55	58	
32	46	20	36	50	82	41	21	29	47	37	

24	31	20	5	25	91	95	45	46	46	17	
11	14	3	18	2	21	18	18	60	48	68	
41	41	22	29	16	16	45	18	23	36	43	
80	82	19	22	38	67	55	36	28	31	33	
54	81	18	19	42	361	365	16	71	11	55	
5	81	35	27	139	895	921	104	93	30	54	
39	68	35	38	101	606	628	106	51	19	31	
56	40	64	42	51	59	37	32	15	21	8	
33	42	36	28	34	40	23	20	27	24	25	
49	15	10	28	67	79	68	35	40	34	23	
45	3	26	42	62	69	57	19	14	23	7	

38	20	10	17	0	34	36	4	2	31	22	
6	10	7	11	25	30	13	8	9	25	13	
18	21	22	13	19	29	15	16	27	26	22	
7	37	39	7	30	36	5	22	26	34	32	
69	54	41	27	147	479	341	18	30	5	32	
69	31	33	51	214	871	724	65	29	26	27	
