17	11	29	22	11	
29	103	346	255	18	
68	232	786	532	9	
68	170	499	281	40	
13	57	47	50	41	

10	8	20	9	11	
3	23	84	90	31	
38	74	358	315	56	
65	47	356	258	47	
30	59	112	24	70	

41	65	81	57	17	
45	344	618	237	54	
35	776	1186	338	149	
19	488	687	140	115	
10	33	4	39	27	

22	86	65	22	26	
88	338	321	123	56	
76	332	344	166	77	
27	97	148	137	78	
33	36	73	61	45	

4	29	43	71	14	
72	251	742	454	45	
105	444	1172	668	95	
20	231	539	332	58	
25	9	44	35	41	

22	38	67	55	36	
19	42	361	365	16	
27	139	895	921	104	
38	101	606	628	106	
42	51	59	37	32	

7	30	36	5	22	
27	147	479	341	18	
51	214	871	724	65	
20	111	511	494	96	
29	21	26	43	26	

21	32	81	39	29	
16	212	271	63	23	
52	554	771	236	62	
80	417	556	186	34	
50	70	43	25	14	

9	12	13	38	26	
93	439	528	123	19	
186	683	880	178	76	
182	227	404	87	58	
81	134	72	8	17	

76	54	48	61	46	
63	83	476	432	66	
40	219	1036	895	107	
48	133	675	561	73	
62	6	71	23	67	

37	24	27	24	26	
21	94	275	241	74	
12	134	530	504	109	
9	71	336	309	53	
8	24	25	38	62	

37	8	15	34	48	
20	86	284	160	56	
31	246	721	479	39	
41	146	526	408	25	
49	59	30	96	25	

69	16	75	69	38	
129	124	335	402	67	
84	122	380	509	105	
22	47	119	177	100	
11	34	50	96	79	

64	64	50	35	34	
31	136	201	103	59	
33	293	427	171	31	
46	170	239	73	35	
50	56	28	37	26	

6	68	107	37	11	
32	352	570	241	32	
31	397	621	273	39	
25	114	169	99	30	
20	38	27	22	48	

25	31	42	42	21	
37	91	406	346	33	
31	177	941	870	113	
62	83	685	671	117	
74	50	98	157	80	

38	34	54	52	54	
6	38	94	128	68	
19	130	326	281	45	
31	115	258	217	63	
23	21	10	53	65	

39	17	39	9	24	
18	115	584	530	36	
70	227	1180	1048	100	
62	112	678	606	80	
2	29	34	46	35	

