13	34	55	29	31	34	23	
26	45	21	9	40	50	18	
21	49	40	230	208	23	20	
13	55	69	473	433	22	56	
21	42	44	365	346	63	51	
15	28	1	55	49	67	42	
27	69	54	88	107	47	20	

81	63	19	58	42	37	2	
43	25	55	57	25	39	24	
8	42	215	247	61	33	34	
64	104	503	563	165	31	9	
115	83	410	495	149	39	5	
113	66	65	103	38	22	12	
68	71	73	121	38	31	38	

72	41	35	18	43	11	33	
53	52	14	17	25	4	19	
100	79	65	242	215	30	30	
59	34	132	438	390	108	55	
37	39	86	291	282	102	42	
36	34	24	55	38	4	15	
65	36	32	27	65	58	10	

