11	12	13	3	12	16	3	30	34	29	46	
14	5	5	2	17	51	34	30	23	29	43	
4	7	3	7	4	44	69	46	45	27	26	
6	11	0	2	124	171	49	61	78	78	31	
16	11	11	16	348	572	226	67	87	84	39	
16	9	17	6	377	621	244	74	89	63	48	
8	0	10	12	156	235	80	60	57	31	43	
4	5	2	23	72	80	15	22	35	31	22	
10	2	2	17	58	48	14	33	107	78	38	
19	7	8	13	29	24	38	46	163	105	48	
13	10	5	33	75	66	29	79	172	99	34	

37	91	46	55	45	25	52	38	24	34	13	
28	76	30	47	24	53	96	31	21	20	12	
4	26	32	28	44	34	66	45	11	39	33	
53	29	41	15	75	77	75	56	44	60	6	
44	10	13	12	231	394	168	61	65	53	28	
55	44	33	13	289	559	230	74	50	35	20	
57	41	26	16	155	320	186	45	18	14	5	
45	14	7	12	26	59	91	99	52	28	21	
75	33	6	20	1	22	22	28	13	1	36	
37	18	9	5	15	21	15	47	50	29	23	
31	80	52	28	31	25	46	52	49	18	37	

57	40	37	78	72	68	37	24	35	19	3	
24	14	42	68	37	36	33	26	55	19	28	
25	46	37	27	7	55	60	47	60	4	51	
31	38	32	16	11	63	43	58	52	8	49	
9	14	16	8	122	190	78	34	33	14	28	
30	40	18	20	304	502	190	46	24	25	24	
25	43	24	13	282	485	203	70	39	26	5	
29	29	29	40	83	176	82	68	69	26	13	
13	33	70	44	17	29	9	43	54	14	10	
39	25	50	29	17	38	53	48	24	11	29	
22	14	5	20	19	43	86	77	29	11	25	

89	39	21	5	25	8	43	24	26	28	27	
83	52	36	17	39	41	38	36	10	9	33	
58	42	9	12	26	35	34	38	18	10	19	
20	25	26	11	32	15	35	21	39	20	6	
45	35	42	41	75	118	74	47	45	14	22	
55	25	33	55	149	348	212	71	35	4	34	
60	35	22	37	144	318	197	63	22	2	44	
55	41	25	59	83	77	54	40	15	5	28	
17	6	46	72	58	69	31	30	21	21	23	
12	36	40	44	38	39	27	20	25	27	21	
19	16	29	24	37	31	9	17	32	13	21	

39	16	16	12	32	61	46	14	110	108	0	
33	31	58	44	41	55	43	13	100	148	25	
11	28	62	36	10	33	42	43	21	88	12	
21	10	25	11	2	42	68	37	51	16	30	
36	7	9	17	76	205	156	25	66	21	28	
41	9	30	34	150	519	447	54	86	26	23	
22	5	29	35	128	474	433	65	68	64	39	
16	40	25	18	50	148	158	55	55	63	42	
6	62	23	5	16	43	93	117	38	21	15	
48	48	12	19	33	13	49	90	48	6	21	
41	25	2	14	18	10	85	138	74	23	29	

24	39	18	43	36	15	60	44	45	64	37	
25	32	7	31	29	43	16	24	18	30	12	
11	32	19	44	44	32	20	67	48	15	48	
24	25	27	55	30	11	61	134	95	25	54	
17	41	38	39	126	315	230	106	68	17	48	
23	43	30	18	197	581	411	32	40	33	49	
37	32	13	17	117	377	271	25	56	34	47	
40	65	11	35	45	63	41	34	34	6	14	
44	80	35	45	30	5	34	42	54	48	66	
55	46	47	5	39	79	47	50	63	47	50	
17	6	32	35	47	41	75	52	56	42	12	

