20	24	8	21	5	6	16	
22	17	11	29	22	11	16	
20	29	103	346	255	18	4	
43	68	232	786	532	9	13	
19	68	170	499	281	40	14	
8	13	57	47	50	41	16	
15	18	8	11	27	27	19	

25	11	14	34	28	12	23	
11	10	8	20	9	11	25	
17	3	23	84	90	31	6	
25	38	74	358	315	56	37	
13	65	47	356	258	47	36	
18	30	59	112	24	70	38	
18	33	55	58	40	18	32	

24	11	31	80	47	18	57	
26	41	65	81	57	17	14	
19	45	344	618	237	54	17	
16	35	776	1186	338	149	20	
13	19	488	687	140	115	26	
24	10	33	4	39	27	18	
30	43	21	11	22	13	22	

13	15	17	33	51	28	33	
9	22	86	65	22	26	37	
0	88	338	321	123	56	26	
24	76	332	344	166	77	60	
16	27	97	148	137	78	68	
16	33	36	73	61	45	5	
27	31	44	46	41	7	28	

14	7	18	46	46	18	7	
26	4	29	43	71	14	53	
22	72	251	742	454	45	33	
39	105	444	1172	668	95	12	
17	20	231	539	332	58	12	
39	25	9	44	35	41	45	
53	38	28	42	38	59	91	

22	29	16	16	45	18	23	
19	22	38	67	55	36	28	
18	19	42	361	365	16	71	
35	27	139	895	921	104	93	
35	38	101	606	628	106	51	
64	42	51	59	37	32	15	
36	28	34	40	23	20	27	

22	13	19	29	15	16	27	
39	7	30	36	5	22	26	
41	27	147	479	341	18	30	
33	51	214	871	724	65	29	
9	20	111	511	494	96	19	
5	29	21	26	43	26	22	
29	31	15	15	45	31	10	

24	23	20	2	0	24	15	
8	21	32	81	39	29	11	
26	16	212	271	63	23	2	
28	52	554	771	236	62	23	
27	80	417	556	186	34	23	
13	50	70	43	25	14	7	
16	22	9	34	11	21	23	

73	39	33	27	31	25	27	
44	9	12	13	38	26	8	
34	93	439	528	123	19	34	
80	186	683	880	178	76	38	
69	182	227	404	87	58	7	
14	81	134	72	8	17	18	
23	47	43	19	6	15	14	

45	34	29	27	36	29	39	
76	76	54	48	61	46	36	
49	63	83	476	432	66	40	
78	40	219	1036	895	107	50	
45	48	133	675	561	73	82	
65	62	6	71	23	67	65	
63	66	32	25	18	35	21	

51	37	31	22	25	7	26	
64	37	24	27	24	26	36	
38	21	94	275	241	74	24	
16	12	134	530	504	109	18	
20	9	71	336	309	53	3	
19	8	24	25	38	62	37	
26	8	32	36	60	90	63	

43	61	52	97	50	34	14	
19	37	8	15	34	48	5	
9	20	86	284	160	56	27	
22	31	246	721	479	39	39	
29	41	146	526	408	25	18	
29	49	59	30	96	25	12	
17	43	73	34	23	26	13	

93	57	56	4	19	13	30	
73	69	16	75	69	38	37	
37	129	124	335	402	67	77	
40	84	122	380	509	105	73	
51	22	47	119	177	100	46	
10	11	34	50	96	79	24	
6	13	42	42	10	27	87	

44	44	77	72	41	28	12	
56	64	64	50	35	34	42	
31	31	136	201	103	59	59	
23	33	293	427	171	31	59	
26	46	170	239	73	35	41	
34	50	56	28	37	26	22	
30	14	27	14	30	13	16	

12	36	13	29	39	5	9	
0	6	68	107	37	11	20	
27	32	352	570	241	32	50	
47	31	397	621	273	39	76	
30	25	114	169	99	30	55	
8	20	38	27	22	48	69	
7	10	35	41	40	37	118	

35	58	53	13	19	27	26	
18	25	31	42	42	21	29	
21	37	91	406	346	33	17	
58	31	177	941	870	113	21	
19	62	83	685	671	117	42	
72	74	50	98	157	80	5	
53	9	35	30	40	31	19	

34	48	34	45	31	49	91	
42	38	34	54	52	54	59	
39	6	38	94	128	68	19	
29	19	130	326	281	45	20	
4	31	115	258	217	63	10	
28	23	21	10	53	65	59	
16	18	14	49	22	48	92	

26	11	27	48	62	47	37	
39	39	17	39	9	24	15	
41	18	115	584	530	36	50	
41	70	227	1180	1048	100	47	
56	62	112	678	606	80	24	
42	2	29	34	46	35	18	
19	35	98	62	65	56	17	

