103	346	255	
232	786	532	
170	499	281	

23	84	90	
74	358	315	
47	356	258	

344	618	237	
776	1186	338	
488	687	140	

338	321	123	
332	344	166	
97	148	137	

251	742	454	
444	1172	668	
231	539	332	

42	361	365	
139	895	921	
101	606	628	

147	479	341	
214	871	724	
111	511	494	

212	271	63	
554	771	236	
417	556	186	

439	528	123	
683	880	178	
227	404	87	

83	476	432	
219	1036	895	
133	675	561	

94	275	241	
134	530	504	
71	336	309	

86	284	160	
246	721	479	
146	526	408	

124	335	402	
122	380	509	
47	119	177	

136	201	103	
293	427	171	
170	239	73	

352	570	241	
397	621	273	
114	169	99	

91	406	346	
177	941	870	
83	685	671	

38	94	128	
130	326	281	
115	258	217	

115	584	530	
227	1180	1048	
112	678	606	

